iter	Passed	Remaining
443	1239	1552
444	1242	1549
445	1245	1547
446	1248	1544
447	1252	1542
448	1255	1540
449	1258	1537
450	1261	1535
451	1264	1532
452	1267	1530
453	1271	1528
454	1273	1525
455	1276	1522
456	1279	1520
457	1282	1517
458	1284	1514
459	1287	1511
460	1289	1507
461	1292	1504
462	1295	1502
463	1298	1500
464	1301	1497
465	1303	1494
466	1306	1490
467	1308	1487
468	1311	1485
469	1314	1482
470	1317	1480
471	1320	1477
472	1324	1475
473	1327	1473
474	1330	1470
475	1333	1467
476	1335	1464
477	1338	1461
478	1341	1458
479	1344	1456
480	1347	1453
481	1350	1451
482	1352	1448
483	1355	1444
484	1358	1443
485	1362	1441
486	1365	1438
487	1368	1435
488	1371	1433
489	1374	1430
490	1377	1427
491	1379	1424
492	1382	1421
493	1384	1418
494	1387	1415
495	1390	1412
496	1393	1410
497	1396	1407
498	1398	1404
499	1401	1401
500	1403	1398
501	1406	1395
502	1409	1393
503	1413	1390
504	1417	1388
505	1419	1386
506	1422	1383
507	1425	1380
508	1428	1377
509	1430	1374
510	1433	1371
511	1436	1369
512	1439	1366
513	1442	1363
514	1445	1361
515	1448	1358
516	1450	1355
517	1453	1352
518	1456	1349
519	1458	1346
520	1462	1344
521	1465	1341
522	1467	1338
523	1470	1335
524	1472	1332
525	1475	1329
526	1477	1326
527	1479	1322
528	1482	1319
529	1484	1316
530	1487	1313
531	1489	1310
532	1492	1307
533	1494	1304
534	1497	1301
535	1499	1298
536	1502	1295
537	1504	1292
538	1507	1289
539	1510	1286
540	1513	1283
541	1516	1281
542	1518	1278
543	1522	1275
544	1524	1273
545	1527	1270
546	1530	1267
547	1532	1264
548	1536	1262
549	1539	1259
550	1542	1256
551	1544	1253
552	1547	1250
553	1550	1248
554	1553	1245
555	1556	1242
556	1558	1239
557	1561	1236
558	1563	1233
559	1566	1230
560	1568	1227
561	1571	1224
562	1573	1221
563	1575	1218
564	1578	1214
565	1581	1212
566	1583	1209
567	1586	1206
568	1588	1203
569	1591	1200
570	1593	1197
571	1595	1194
572	1598	1191
573	1601	1188
574	1603	1185
575	1606	1182
576	1609	1180
577	1612	1177
578	1615	1174
579	1618	1172
580	1621	1169
581	1624	1166
582	1627	1163
583	1630	1161
584	1632	1158
585	1635	1155
586	1639	1153
587	1641	1150
588	1644	1147
589	1647	1144
590	1650	1142
591	1652	1139
592	1655	1136
593	1657	1133
594	1660	1130
595	1662	1127
596	1665	1124
597	1668	1121
598	1670	1118
599	1672	1115
600	1675	1112
601	1678	1109
602	1680	1106
603	1683	1103
604	1685	1100
605	1687	1097
606	1690	1094
607	1692	1091
608	1695	1088
609	1698	1085
610	1701	1083
611	1704	1080
612	1707	1077
613	1710	1075
614	1713	1072
615	1715	1069
616	1718	1066
617	1721	1063
618	1723	1061
619	1727	1058
620	1730	1056
621	1733	1053
622	1735	1050
623	1738	1047
624	1740	1044
625	1743	1041
626	1746	1038
627	1749	1036
628	1751	1033
629	1754	1030
630	1756	1027
631	1759	1024
632	1761	1021
633	1764	1018
634	1766	1015
635	1768	1012
636	1771	1009
637	1774	1006
638	1777	1004
639	1779	1001
640	1782	998
641	1784	995
642	1786	992
643	1789	989
644	1792	986
645	1795	983
646	1798	981
647	1801	978
648	1804	975
649	1807	973
650	1810	970
651	1813	967
652	1815	964
653	1819	962
654	1822	959
655	1825	957
656	1828	954
657	1832	952
658	1834	949
659	1837	946
660	1840	943
661	1842	940
662	1845	938
663	1848	935
664	1851	932
665	1854	929
666	1857	927
667	1859	924
668	1862	921
669	1864	918
670	1867	915
671	1869	912
672	1872	909
673	1874	906
674	1877	903
675	1879	900
676	1882	897
677	1884	895
678	1888	892
679	1891	890
680	1894	887
681	1897	884
682	1900	882
683	1904	879
684	1907	876
685	1909	874
686	1912	871
687	1914	868
688	1917	865
689	1921	863
690	1924	860
691	1927	857
692	1930	855
693	1932	852
694	1936	849
695	1939	847
696	1941	844
697	1944	841
698	1946	838
699	1949	835
700	1952	832
701	1954	829
702	1957	826
703	1959	823
704	1961	820
705	1964	818
706	1967	815
707	1970	812
708	1972	809
709	1974	806
710	1977	803
711	1979	800
712	1982	798
713	1985	795
714	1988	792
715	1991	790
716	1994	787
717	1998	784
718	2001	782
